Recomendação TOTVS,Suporte ,Atendimento agente,Executivo de Vendas/ Administrativo e financeiro,Custos e valores,Implantação Software,Entrega Serviço,Atualização Software,Nota Unidade
,0.0,8.0,8.0,7.0,8.0,parcialmente,7.0,7.0
,,,,,,,,
6.0,7.0,8.0,,,9.0,parcialmente,6.0,7.0
9.0,6.0,,7.0,,,total,5.0,5.0
10.0,9.0,10.0,,9.0,9.0,total,10.0,10.0
,,,,,,,,
,,,,,,,,
9.0,8.0,,9.0,8.0,8.0,total,8.0,
,,,,,,,,
10.0,10.0,10.0,,8.0,,,10.0,10.0
7.0,8.0,8.0,,8.0,8.0,parcialmente,8.0,8.0
8.0,,,,,8.0,parcialmente,9.0,
8.0,8.0,8.0,,8.0,,total,6.0,7.0
0.0,8.0,8.0,5.0,5.0,5.0,parcialmente,10.0,7.0
10.0,8.0,10.0,8.0,8.0,,total,10.0,10.0
7.0,7.0,8.0,,,,parcialmente,,
9.0,6.0,9.0,9.0,7.0,8.0,total,8.0,7.0
,,,8.0,8.0,,total,10.0,
,,10.0,,2.0,10.0,parcialmente,10.0,
8.0,5.0,6.0,7.0,7.0,,parcialmente,8.0,8.0
,,,,,,,,
,,,,,,,,
,,,,,,,,
9.0,8.0,9.0,9.0,7.0,9.0,total,9.0,9.0
,,,,,,,,
,,,,,,,,
4.0,8.0,10.0,9.0,3.0,,parcialmente,2.0,9.0
9.0,9.0,9.0,8.0,8.0,9.0,parcialmente,8.0,9.0
,,,,,,,,
,,,,,,,,
9.0,,,,,,total,,
9.0,10.0,10.0,10.0,9.0,,total,10.0,10.0
9.0,8.0,8.0,9.0,9.0,9.0,parcialmente,8.0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
10.0,10.0,10.0,8.0,5.0,,parcialmente,10.0,10.0
9.0,9.0,10.0,9.0,8.0,8.0,parcialmente,9.0,9.0
10.0,10.0,10.0,10.0,10.0,10.0,total,10.0,10.0
0.0,0.0,0.0,10.0,0.0,,parcialmente,0.0,10.0
,,,,,,,,
10.0,,,,,,parcialmente,8.0,
,,,,,,,,
10.0,8.0,8.0,10.0,8.0,10.0,total,10.0,10.0
10.0,9.0,10.0,10.0,5.0,10.0,total,10.0,10.0
,,,,,,,,
9.0,8.0,8.0,10.0,7.0,9.0,total,8.0,7.0
8.0,9.0,8.0,7.0,9.0,,total,10.0,8.0
9.0,8.0,8.0,,7.0,,total,6.0,8.0
7.0,6.0,6.0,8.0,,8.0,total,7.0,6.0
7.0,4.0,6.0,,,,parcialmente,4.0,7.0
9.0,10.0,7.0,9.0,9.0,7.0,total,9.0,7.0
,,,,,,,,
,,,,,,,,
,,,,,,,,
,10.0,10.0,10.0,8.0,10.0,total,8.0,10.0
10.0,8.0,8.0,,6.0,,parcialmente,8.0,10.0
0.0,8.0,5.0,0.0,0.0,5.0,parcialmente,0.0,0.0
9.0,8.0,8.0,10.0,7.0,5.0,parcialmente,8.0,9.0
,,,,,,,,
9.0,8.0,8.0,10.0,7.0,5.0,parcialmente,8.0,9.0
10.0,2.0,8.0,10.0,5.0,,parcialmente,10.0,0.0
7.0,10.0,10.0,7.0,5.0,7.0,total,8.0,
7.0,7.0,8.0,7.0,9.0,8.0,parcialmente,,
,,,,,,,,
,,,,,,,,
10.0,6.0,6.0,,,,total,9.0,7.0
10.0,8.0,8.0,9.0,8.0,8.0,parcialmente,9.0,10.0
,,,,,,,,
,,,,,,,,
10.0,8.0,,10.0,8.0,9.0,total,9.0,9.0
,,,,,,,,
,,,,,,,,
,,,,,,,,
10.0,9.0,9.0,9.0,9.0,9.0,total,8.0,8.0
8.0,9.0,9.0,9.0,9.0,,parcialmente,7.0,8.0
8.0,9.0,9.0,9.0,9.0,,parcialmente,7.0,8.0
